Requirement Text,Kategori
"The system can file, store and retrieve information across courses.",BWR
The system must allow a student to be tracked by the UEID provided by LMS core system provided.,BWR
"The system must support management of access, views, functionality and security roles such as student, instructor, program administrator, and technical administrator.",BWR
"The system must associate CBT, WBT, and e-Learning webinars to an instructor led training course.",BWR
The system must associate test and examinations to courses and curriculum.,BWR
The system must store and manage training materials electronically and in print form for the following assets: a) Job Aids b) Instructor Manuals  c) User Manuals d)Instructor-Led Presentations e) CBTs/WBTs,BWR
"The system must upload certificates of completion, course registration sheets, and evaluations",BWR
The system must associate classes with instructor names for specific sessions.,BWR
The system must connect training material to a course.,BWR
"The system must create course specific instructions and data such as parking, training module completion requirements, and unique instructions.",BWR
The system must manage course registration.,BWR
The system must prevent enrollment in a course when the student is not enrolled in a prerequisite.,BWR
The system must provide the instructor the ability to post course completion to a student's transcript.,BWR
The system must support and track webinars.,BWR
The system must allow the students to self-register into classes available via the course catalog.,BWR
The system must build a course catalog from the inventory of courses available in the system.,BWR
The system must define prerequisites for courses in the course catalog.,BWR
The system must store and archive training modules and artifacts.,BWR
The system must build a course catalog from the inventory of courses available in the system.,BWR
The system must define prerequisites for courses in the course catalog.,BWR
The system must store and archive training modules and artifacts.,BWR
The system must flag mandated training.,BWR
"The system must notify students and managers of compliance status. For example, a student is 3 months away from no longer being compliant with the Sexual Harassment Prevention Training mandate.",BWR
"The system must send 'reminder emails' to participants scheduled for a class. For example, supervisor training is 2 weeks away.",BWR
"The system must send confirmation and status emails to students, managers, and/or training approver/s.",BWR
"The system must send notifications of 'change in student status' to students, managers, and/or approvers.",BWR
"The system must send notifications to students, managers, and/or approvers when an employee does not show up for a class.",BWR
"The system must support sending a 'change in class status' message. This includes the ability to generate emails to students, managers, and instructors. Changes in class status such as location, start times, and instructor must generate a pre-formatted email.",BWR
The system must allow the administrator to monitor student progress towards curriculum and certification completion,BWR
"The system must create and produce student reports and work lists based on selected data elements including name, address, and student identification number.",BWR
The system must generate individual student transcripts.,BWR
The system must track and produce an attendance report by course.,BWR
The system must support a notification of compliance and non-compliance with mandated training.,BWR
The system must track On-the-Job Training activity.,BWR
The system must track the student's successful completion of a course.,BWR
The system must verify that a student is not enrolled in the same class offering twice to avoid duplicate registration.,BWR
The system must produce an exception report when a student’s information is not uploaded properly.,BWR
The system must have the ability to determine that an employee no longer exists based upon absence from ECR REST API data feed and/or flat file and will deactivate that employee record within LMS.,BWR
The system must not allow updates to the employee fields which are imported from the ECR core system.,BWR
"The system must import data by calling the REST API with LMS Product, Agency Code and LMS core system's UEID to get an employee's training history.",BWR
The system must have unique course numbers.,BWR
The system must relate a set of courses that belong together in a series with a unique identifier.,BWR
"The system must import LMS core system reference table fields for drop down lists through REST API and/or sFTP flat file at a minimum of daily interval for a student, series, course and class.",BWR
"Contractor must comply with the IFB terms and conditions, including, but not limited to, the Department of General Services’ Cloud Computing Special Provisions SaaS and California State Administrative Manual (SAM) policy.",BWR
The system must provide reports upon request and detailed results of import and export activities.,BWR
"Students can choose courses, attend lectures, take exams, view their attendance records, progress reports, etc. as per their convenience.",BWR
Attend lectures either at the scheduled time or on request to view the lecture at a later time.,BWR
"Faculties can take lectures, upload assignments, announcements, evaluate answer sheets, and upload lectures and other discussions in various formats such as videos, PowerPoint presentations, etc.",BWR
"Upload and download of various assignments, college notices, student notices, journals, videos.",BWR
"Administrators can generate reports, log files, and perform backup/recovery of data at any time.",BWR
Shared documents and media library that can help in active learning of a student.,BWR
"One-to-many, many-to-one, and many-to-many information sharing.",BWR
Provisions of resources to arouse the interest of students in extracurricular activities like public speaking and grasp the chance to enhance their personalities.,BWR
Students can take up various quizzes which can help them realize their inbuilt talents in various fields.,BWR
