RequirementText,_class_,cleaned_text
The system shall refresh display every 60 seconds.,PE,system shall refresh display every second
The application shall match color schema set forth Department Homeland Security,LF,application shall match color schema set forth department homeland security
If projected data must readable. On 10x10 projection screen 90% viewers must able read Event / Activity data viewing distance 30,US,projected data must readable projection screen viewer must able read event activity data viewing distance
The product shall available normal business hours. As long user access client PC system available 99% time first six months operation.,A,product shall available normal business hour long user access client system available time first six month operation
If projected data must understandable. On 10x10 projection screen 90% viewers must able determine Events Activities occuring current time viewing distance 100,US,projected data must understandable projection screen viewer must able determine event activity occuring current time viewing distance
The product shall ensure accessed authorized users. The product able distinguish authorized unauthorized users access attempts,SE,product shall ensure accessed authorized user product able distinguish authorized unauthorized user access attempt
The product shall intuitive self-explanatory. 90% new users shall able start display Events Activities within 90 minutes using product.,US,product shall intuitive self explanatory new user shall able start display event activity within minute using product
The product shall respond fast keep up-to-date data display.,PE,product shall respond fast keep date data display
The system shall MDI form allows viewing graph data table.,F,system shall mdi form allows viewing graph data table
The system shall display Events vertical table time.,F,system shall display event vertical table time
The system shall display Events graph time.,F,system shall display event graph time
The system shall display Events Activities.,F,system shall display event activity
The display shall two regions: left 2/3 display graphical right 1/3 display data table,F,display shall two region left display graphical right display data table
The data displayed nodes within graph rows table MSEL Summary data,F,data displayed node within graph row table msel summary data
The table side display shall split 2 regions: sequential temporal.,F,table side display shall split region sequential temporal
The top 1/4 table hold events occur sequentially.,F,top table hold event occur sequentially
The bottom 3/4 table hold events occur according relevance current time.,F,bottom table hold event occur according relevance current time
The system shall color code events according variance current time.,F,system shall color code event according variance current time
The system shall display data Sync Matrix 1.0 Exercise Management Tool 1.0 applications,F,system shall display data sync matrix exercise management tool application
The system shall link Events back either Sync Matrix 1.0 Exercise Managment Tool 1.0 applications modifications.,F,system shall link event back either sync matrix exercise managment tool application modification
The system shall allow modification display.,F,system shall allow modification display
The system shall offer display Events exercise.,F,system shall offer display event exercise
The system shall filter data by: Venues Key Events.,F,system shall filter data venue key event
The system shall allow user define time segments,F,system shall allow user define time segment
The system shall display local exercise time separate clocks,F,system shall display local exercise time separate clock
The system shall offer ability pause resume refresh data.,F,system shall offer ability pause resume refresh data
The system shall provide charts Activity Event actual versus assumed time.,F,system shall provide chart activity event actual versus assumed time
The system shall provide history report changes made Activity Event data,F,system shall provide history report change made activity event data
The look feel system shall conform user interface standards smart device.,LF,look feel system shall conform user interface standard smart device
The user interface shall standard menus buttons navigation,LF,user interface shall standard menu button navigation
The system shall professional appearance,LF,system shall professional appearance
The product shall consistent color scheme fonts.,LF,product shall consistent color scheme font
The system shall used realtors training.,US,system shall used realtor training
The system shall intuitive self explanatory.,US,system shall intuitive self explanatory
The product shall easy realtor learn.,US,product shall easy realtor learn
The product shall use symbols words naturally understandable realtor community.,US,product shall use symbol word naturally understandable realtor community
The product shall produce search results acceptable time,PE,product shall produce search result acceptable time
The search results shall returned later 30 seconds user entered search criteria,PE,search result shall returned later second user entered search criterion
The product shall generate CMA report acceptable time.,PE,product shall generate cma report acceptable time
The CMA report shall returned later 60 seconds user entered CMA report criteria.,PE,cma report shall returned later second user entered cma report criterion
The product shall synchronize contacts appointments acceptable time.,PE,product shall synchronize contact appointment acceptable time
The product shall synchronize office system every hour.,PE,product shall synchronize office system every hour
The product shall available use 24 hours per day 365 days per year,A,product shall available use hour per day day per year
Out 1000 accesses system system available 999 times.,A,access system system available time
The product shall operate offline mode whenever internet connection unavailable.,FT,product shall operate offline mode whenever internet connection unavailable
The product shall allow user view previously downloaded search results CMA reports appointments.,FT,product shall allow user view previously downloaded search result cma report appointment
The product shall retain user preferences event failure.,FT,product shall retain user preference event failure
100% saved user preferences shall restored system comes back online.,FT,saved user preference shall restored system come back online
The product shall able support multiple remote users,SC,product shall able support multiple remote user
The product shall able support 1000 simultaneous users.,SC,product shall able support simultaneous user
The product shall capable handling existing 1000 users. This number expected grow 5 times within next year.,SC,product shall capable handling existing user number expected grow time within next year
The product shall installed untrained realtor without recourse separately-printed instructions.,US,product shall installed untrained realtor without recourse separately printed instruction
90% untrained realtors shall able install product device without printed instructions,US,untrained realtor shall able install product device without printed instruction
The product expected run Windows CE Palm operating systems.,PO,product expected run window palm operating system
Only registered realtors shall able access system.,SE,registered realtor shall able access system
Every user system shall authenticated authorized.,SE,every user system shall authenticated authorized
The product shall prevent data incorrect data introduced.,SE,product shall prevent data incorrect data introduced
The system shall allow real estate agent query MLS information,F,system shall allow real estate agent query ml information
The user shall able get driving directions selected property,F,user shall able get driving direction selected property
The user shall able download appointments contact information clients,F,user shall able download appointment contact information client
The system shall display clear property images search results,F,system shall display clear property image search result
The system shall update create new property listings MLS,F,system shall update create new property listing ml
Realtor shall able generate CMA report based property criteria,F,realtor shall able generate cma report based property criterion
The system shall able call seller buyer schedule appointment,F,system shall able call seller buyer schedule appointment
The realtor shall notified new client appointments automatic synchronization office system,F,realtor shall notified new client appointment automatic synchronization office system
The realtor shall able retrieve map showing property locations specified area,F,realtor shall able retrieve map showing property location specified area
The system shall notify realtor seller buyer responds appointment request,F,system shall notify realtor seller buyer responds appointment request
The product shall allow user save property search results.,F,product shall allow user save property search result
The system shall easy use Program Administrators/Nursing Staff Members.,US,system shall easy use program administrator nursing staff member
All users shall able use system one day training.,US,user shall able use system one day training
The system shall help user avoid making mistakes scheduling classes clinicals nursing students.,US,system shall help user avoid making mistake scheduling class clinicals nursing student
The number mistakes noted students shall decreased 50% first year.,US,number mistake noted student shall decreased first year
The system shall intuitive Program Administrators/Nursing Staff Members.,US,system shall intuitive program administrator nursing staff member
2 3 Program Administrators/Nursing Staff Members shall successfully able use system manage scheduling classes clinicals.,US,program administrator nursing staff member shall successfully able use system manage scheduling class clinicals
The system shall use symbols words naturally understandable user community.,US,system shall use symbol word naturally understandable user community
The verbiage used within system shall consistent Standard English terminology national Nursing Community.,US,verbiage used within system shall consistent standard english terminology national nursing community
Staff members shall able complete set tasks timely manner.,PE,staff member shall able complete set task timely manner
The response time general student management tasks shall take longer 5 seconds response time schedule generation shall take longer 30 seconds.,PE,response time general student management task shall take longer second response time schedule generation shall take longer second
The system shall available use hours 8am 6pm.,A,system shall available use hour
The system shall achieve 95% time.,A,system shall achieve time
system shall able handle user requests/usage business hours.,SC,system shall able handle user request usage business hour
The system shall cater 10 simultaneous users 9am 5pm.,SC,system shall cater simultaneous user
The system shall capable processing 100% nursing students classes next 10 years.,SC,system shall capable processing nursing student class next year
